Investor_name_link,country,Investor_name,Investor_type,state_province
http://www.privco.com/investors/business-incubator-sbdc/alabama-aandm-university-sbdc,United States,Alabama A&M University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/alabama-sbdc,United States,Alabama SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/alabama-state-university-sbdc,United States,Alabama State University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/angel-investor-group/auburn-angel-network,United States,Auburn Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/business-incubator-sbdc/auburn-university-sbdc,United States,Auburn University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/baldwin-county-business-incubator,United States,Baldwin County Business Incubator,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/bessemer-business-incubation-system,United States,Bessemer Business Incubation System,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/bevill-state-community-college-business-development-center,United States,Bevill State Community College Business Development Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/angel-investor-group/birmingham-angel-network-llc,United States,"Birmingham Angel Network, LLC",Angel Investor Group,Alabama
http://www.privco.com/investors/venture-capital/bonaventure-capital-llc,United States,"Bonaventure Capital, LLC",Venture Capital,Alabama
http://www.privco.com/investors/business-incubator-sbdc/business-innovation-center,United States,Business Innovation Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/business-technology-development-center-biztech,United States,Business Technology Development Center (BizTech),Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/community-entrepreneurship-institute-inc,United States,Community Entrepreneurship Institute Inc,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/covington-county-business-development-center,United States,Covington County Business Development Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/decatur-morgan-county-entrepreneurial-center,United States,Decatur-Morgan County Entrepreneurial Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/private-equity/eastside-partners,United States,Eastside Partners,Private Equity,Alabama
http://www.privco.com/investors/business-incubator-sbdc/enterprise-business-incubator,United States,Enterprise Business Incubator,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/private-equity/fenwick-capital-group-inc,United States,"Fenwick Capital Group, Inc.",Private Equity,Alabama
http://www.privco.com/investors/other-investment-firm/gaunce-management-inc,United States,Gaunce Management Inc.,Other Investment Firm,Alabama
http://www.privco.com/investors/private-equity/greer-capital-advisors-llc,United States,"Greer Capital Advisors, LLC",Private Equity,Alabama
http://www.privco.com/investors/angel-investor-group/gulf-coast-angel-network,United States,Gulf Coast Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/private-equity-venture-capital/harbert-management-corporation,United States,Harbert Management Corporation,Private Equity & Venture Capital,Alabama
http://www.privco.com/investors/angel-investor-group/huntsville-angel-network,United States,Huntsville Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/business-incubator-sbdc/huntsville-biotechnology-center,United States,Huntsville Biotechnology Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/innovation-depot,United States,Innovation Depot,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/alabama-aandm-university-sbdc,United States,Alabama A&M University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/alabama-sbdc,United States,Alabama SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/alabama-state-university-sbdc,United States,Alabama State University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/angel-investor-group/auburn-angel-network,United States,Auburn Angel Network,Angel Investor Group,Alabama
http://www.privco.com/investors/business-incubator-sbdc/auburn-university-sbdc,United States,Auburn University SBDC,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/baldwin-county-business-incubator,United States,Baldwin County Business Incubator,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/bessemer-business-incubation-system,United States,Bessemer Business Incubation System,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/bevill-state-community-college-business-development-center,United States,Bevill State Community College Business Development Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/angel-investor-group/birmingham-angel-network-llc,United States,"Birmingham Angel Network, LLC",Angel Investor Group,Alabama
http://www.privco.com/investors/venture-capital/bonaventure-capital-llc,United States,"Bonaventure Capital, LLC",Venture Capital,Alabama
http://www.privco.com/investors/business-incubator-sbdc/business-innovation-center,United States,Business Innovation Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/business-technology-development-center-biztech,United States,Business Technology Development Center (BizTech),Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/community-entrepreneurship-institute-inc,United States,Community Entrepreneurship Institute Inc,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/covington-county-business-development-center,United States,Covington County Business Development Center,Business Incubator / SBDC,Alabama
http://www.privco.com/investors/business-incubator-sbdc/decatur-morgan-county-entrepreneurial-center,United States,Decatur-Morgan County Entrepreneurial Center,Business Incubator / SBDC,Alabama
